timestamp,valence,arousal,stress_score,dominant_zone,pitch,jitter,shimmer
2026-03-15T11:36:37.819013,-0.6838,0.3922,0.6380,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.877993,-0.3647,0.3480,0.4563,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:37.930056,-0.0738,0.0607,0.1673,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:37.971341,-0.1144,-0.0036,0.1554,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.010694,-0.4370,0.1924,0.4147,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.052358,-0.1383,0.2161,0.2772,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.088809,-0.5313,0.1827,0.4570,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.139557,-0.1293,0.1966,0.2629,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.184611,0.1035,0.2207,0.1586,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.250185,-0.5116,-0.0630,0.3243,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.252773,-0.0959,-0.1325,0.0817,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.340801,-0.4773,0.2145,0.4459,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.415922,-0.4402,0.3199,0.4800,high_stress,0.00,0.0000,0.0000
2026-03-15T11:36:38.490232,-0.2390,0.2191,0.3290,neutral,0.00,0.0000,0.0000
2026-03-15T11:36:38.530270,-0.3625,0.0597,0.3111,neutral,0.00,0.0000,0.0000
